X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-86.412545,41.019332,IN,Kewanna,41.019332,-86.412545,2024/02/18 17:52:10+00,2024/02/18 19:08:40+00,2024/02/18 20:23:20+00,7760
-85.787137,41.32238,IN,Oswego,41.32238,-85.787137,2024/02/18 17:53:30+00,2024/02/18 19:09:50+00,2024/02/18 20:24:10+00,7761
-89.987506,38.551779,IL,Swansea,38.551779,-89.987506,2024/02/18 17:43:30+00,2024/02/18 19:01:10+00,2024/02/18 20:17:30+00,7762
-89.991229,42.494827,IL,Warren,42.494827,-89.991229,2024/02/18 17:49:30+00,2024/02/18 19:04:50+00,2024/02/18 20:19:00+00,7763
-90.91381,41.601134,IA,Durant,41.601134,-90.91381,2024/02/18 17:47:00+00,2024/02/18 19:02:50+00,2024/02/18 20:17:30+00,7764
-85.548967,41.393993,IN,Kimmell,41.393993,-85.548967,2024/02/18 17:53:50+00,2024/02/18 19:10:10+00,2024/02/18 20:24:30+00,7765
-85.665803,38.542563,IN,Otisco,38.542563,-85.665803,2024/02/18 17:50:00+00,2024/02/18 19:07:40+00,2024/02/18 20:23:10+00,7766
-90.443386,41.280094,IL,Swedona,41.280094,-90.443386,2024/02/18 17:47:00+00,2024/02/18 19:03:10+00,2024/02/18 20:18:00+00,7767
-89.062761,39.931953,IL,Warrensburg,39.931953,-89.062761,2024/02/18 17:46:50+00,2024/02/18 19:03:50+00,2024/02/18 20:19:30+00,7768
-91.116598,42.481486,IA,Dyersville,42.481486,-91.116598,2024/02/18 17:48:10+00,2024/02/18 19:03:20+00,2024/02/18 20:17:30+00,7769
-92.309095,42.172071,IA,Dysart,42.172071,-92.309095,2024/02/18 17:46:10+00,2024/02/18 19:01:20+00,2024/02/18 20:15:40+00,7770
-93.902429,42.666336,IA,Eagle Grove,42.666336,-93.902429,2024/02/18 17:45:10+00,2024/02/18 18:59:40+00,2024/02/18 20:13:30+00,7771
-94.122283,41.49441,IA,Earlham,41.49441,-94.122283,2024/02/18 17:43:00+00,2024/02/18 18:58:10+00,2024/02/18 20:13:00+00,7772
-95.419014,41.776283,IA,Earling,41.776283,-95.419014,2024/02/18 17:41:50+00,2024/02/18 18:56:30+00,2024/02/18 20:11:00+00,7773
-91.27011,42.482667,IA,Earlville,42.482667,-91.27011,2024/02/18 17:48:00+00,2024/02/18 19:03:10+00,2024/02/18 20:17:20+00,7774
-95.152411,42.461098,IA,Early,42.461098,-95.152411,2024/02/18 17:43:30+00,2024/02/18 18:57:40+00,2024/02/18 20:11:40+00,7775
-91.852699,41.808555,IA,East Amana,41.808555,-91.852699,2024/02/18 17:46:10+00,2024/02/18 19:01:40+00,2024/02/18 20:16:20+00,7776
-93.929512,41.227029,IA,East Peru,41.227029,-93.929512,2024/02/18 17:42:40+00,2024/02/18 18:58:10+00,2024/02/18 20:13:10+00,7777
-92.630333,41.159335,IA,Eddyville,41.159335,-92.630333,2024/02/18 17:44:10+00,2024/02/18 19:00:00+00,2024/02/18 20:15:00+00,7778
-91.402209,42.644237,IA,Edgewood,42.644237,-91.402209,2024/02/18 17:48:10+00,2024/02/18 19:03:10+00,2024/02/18 20:17:10+00,7779
-92.316108,42.005532,IA,Elberon,42.005532,-92.316108,2024/02/18 17:46:00+00,2024/02/18 19:01:10+00,2024/02/18 20:15:40+00,7780
-92.218227,40.918004,IA,Eldon,40.918004,-92.218227,2024/02/18 17:44:20+00,2024/02/18 19:00:20+00,2024/02/18 20:15:30+00,7781
-93.101295,42.360533,IA,Eldora,42.360533,-93.101295,2024/02/18 17:45:30+00,2024/02/18 19:00:30+00,2024/02/18 20:14:40+00,7782
-90.580918,41.639034,IA,Eldridge,41.639034,-90.580918,2024/02/18 17:47:30+00,2024/02/18 19:03:20+00,2024/02/18 20:18:00+00,7783
-91.635366,42.955417,IA,Elgin,42.955417,-91.635366,2024/02/18 17:48:20+00,2024/02/18 19:03:00+00,2024/02/18 20:16:50+00,7784
-91.402831,42.857388,IA,Elkader,42.857388,-91.402831,2024/02/18 17:48:30+00,2024/02/18 19:03:20+00,2024/02/18 20:17:10+00,7785
-93.523233,41.794237,IA,Elkhart,41.794237,-93.523233,2024/02/18 17:44:10+00,2024/02/18 18:59:20+00,2024/02/18 20:13:50+00,7786
-95.061252,41.593091,IA,Elk Horn,41.593091,-95.061252,2024/02/18 17:42:00+00,2024/02/18 18:56:50+00,2024/02/18 20:11:30+00,7787
-91.274767,42.741818,IA,Elkport,42.741818,-91.274767,2024/02/18 17:48:20+00,2024/02/18 19:03:20+00,2024/02/18 20:17:20+00,7788
-92.256048,42.468845,IA,Elk Run Heights,42.468845,-92.256048,2024/02/18 17:46:50+00,2024/02/18 19:01:40+00,2024/02/18 20:15:50+00,7789
